topic,from_perc,to_prec,change_perc,year
ametiuhingute tooandjate keskliit,0.847,0.295,-65.135,2012 vs 2013
alkoholi kange lahja,1.31,0.612,-53.313,2012 vs 2013
tootuid tootute tootu,1.125,0.464,-58.749,2012 vs 2013
prokuratuur prokuratuuri prokuror,1.257,0.548,-56.38,2012 vs 2013
poolte kokkuleppel huvitise,0.767,0.19,-75.269,2012 vs 2013
riigimetsa majandamise noukokku,0.648,0.084,-86.989,2012 vs 2013
teenistuse teenistuses avalikus,0.953,0.253,-73.437,2012 vs 2013
lng terminali gaasi,0.767,0.063,-91.756,2012 vs 2013
terviseandmed isikuandmeid terviseandmeid,1.535,0.612,-60.155,2012 vs 2013
kohtunike kohtususteem kohtuniku,1.085,0.232,-78.62,2012 vs 2013
vabatahtlike komandode paasteameti,1.297,0.253,-80.484,2012 vs 2013
uliopilased uliopilastele uliopilaste,2.17,0.422,-80.563,2012 vs 2013
kodualuse maamaksu maamaksust,2.382,0.295,-87.604,2012 vs 2013
missiooni missioonile missioon,2.633,0.464,-82.38,2012 vs 2013
efsf esm kreekale,4.882,0.907,-81.427,2012 vs 2013
abielu kooselu samasooliste,0.105,2.431,2205.311,2013 vs 2014
missiooni missioonile missioon,0.464,2.266,388.46,2013 vs 2014
krimmi agressiooni ukraina,0.401,2.127,430.828,2013 vs 2014
toovoimereformi toovoimega toovoimereform,0.063,2.772,4282.492,2013 vs 2014
valimisea valimisiga valimisoiguse,0.127,1.418,1020.637,2013 vs 2014
kodakondsust kodakondsuse kodanikuks,0.548,1.861,239.424,2013 vs 2014
kohtunike kohtususteem kohtuniku,0.232,0.912,292.951,2013 vs 2014
piirilepingu piirileping piirilepingut,0.148,0.76,414.578,2013 vs 2014
erimargistatud kutust kutuse,0.19,0.785,313.568,2013 vs 2014
alkoholi kange lahja,0.612,1.418,131.856,2013 vs 2014
sularaha kommertspangad pangad,0.148,0.709,380.273,2013 vs 2014
treenerite spordi sport,0.127,0.671,430.301,2013 vs 2014
psuhhiaatri alaealine psuhhiaatrilist,0.38,0.987,160.148,2013 vs 2014
elatisraha elatisabi elatise,0.042,0.481,1040.648,2013 vs 2014
lasteaia lasteaias lasteaiakoha,0.464,1.051,126.492,2013 vs 2014
jaatmeid liigiti prugi,0.337,0.861,155.145,2013 vs 2014
prokuratuur prokuratuuri prokuror,0.548,1.127,105.501,2013 vs 2014
liitlaste ohutorje keskmaa,0.105,0.468,344.253,2013 vs 2014
reklaami reklaam alkoholireklaam,0.295,0.76,157.289,2013 vs 2014
koolilouna koolitoidu koolitoit,0.464,1.0,115.577,2013 vs 2014
kandidaadi kandidaati kandidaat,0.316,0.772,144.139,2013 vs 2014
opositsioonis koalitsiooni opositsiooni,0.78,1.405,80.102,2013 vs 2014
lng terminali gaasi,0.063,0.367,480.33,2013 vs 2014
uliopilased uliopilastele uliopilaste,0.422,0.899,113.121,2013 vs 2014
kinnitamise paevakorra paevakord,0.105,0.418,296.225,2013 vs 2014
lipu laevu kaubalaeva,0.211,0.557,164.15,2013 vs 2014
joustumine joustuma joustada,0.928,1.519,63.729,2013 vs 2014
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.127,0.405,220.182,2013 vs 2014
idapiiri piiririba valjaehitamine,0.021,0.266,1160.717,2013 vs 2014
kantsler kantsleri riigisekretar,0.127,0.38,200.171,2013 vs 2014
piirivalve valvamise valvamine,0.105,0.342,224.184,2013 vs 2014
pohiseadusega riigikohus oiguskantsler,0.801,1.253,56.405,2013 vs 2014
kohtla jarve johvi,0.274,0.557,103.192,2013 vs 2014
hadaolukorda eriolukord eriolukorra,0.063,0.241,280.216,2013 vs 2014
maantee neljarealiseks ppp,0.19,0.43,126.796,2013 vs 2014
ts parvlaeva parvlaevad,0.443,0.772,74.385,2013 vs 2014
kodualuse maamaksu maamaksust,0.295,0.57,92.967,2013 vs 2014
riigipalgaliste riigisektoris koondada,0.084,0.266,215.179,2013 vs 2014
toonadalal istungid taiendaval,0.675,1.051,55.714,2013 vs 2014
soita jalakaija konniteel,0.485,0.81,67.051,2013 vs 2014
pensionitous pensionitousu pension,0.358,0.646,80.102,2013 vs 2014
ulejaagis struktuurses struktuurse,1.223,1.696,38.7,2013 vs 2014
rongi rongide rongid,0.127,0.316,150.142,2013 vs 2014
etv saateid pbk,0.148,0.342,131.56,2013 vs 2014
tootuna arvele ariuhingu,0.084,0.241,185.162,2013 vs 2014
apteeke apteegid apteekide,0.675,1.013,50.085,2013 vs 2014
teede teehoiuks teedele,1.771,2.279,28.645,2013 vs 2014
uhistranspordi uhistransport uhistransporti,0.337,0.582,72.598,2013 vs 2014
rail trassi balticu,0.401,0.658,64.304,2013 vs 2014
pensioni pension sammas,0.084,0.228,170.154,2013 vs 2014
kandideerima ametikohale kandidaatide,0.021,0.127,500.341,2013 vs 2014
korrata stenogrammist vabandan,0.021,0.127,500.341,2013 vs 2014
vabatahtlike komandode paasteameti,0.253,0.456,80.102,2013 vs 2014
puude raskusastme puuet,0.021,0.114,440.307,2013 vs 2014
kaitsekulud kaitsekulutused kaitsekulude,0.021,0.114,440.307,2013 vs 2014
hoiu pangad pankade,0.084,0.203,140.137,2013 vs 2014
ene ergma aplaus,0.148,0.291,97.255,2013 vs 2014
vagivallale vihakone ohutamine,0.253,0.43,70.097,2013 vs 2014
korruptsiooni korruptsioon korruptsiooniga,0.063,0.165,160.148,2013 vs 2014
leping ratifitseerida lepinguga,0.506,0.709,40.08,2013 vs 2014
tooandja tooandjal tootaja,0.169,0.291,72.598,2013 vs 2014
haalte kandidaatidele haaletamisest,0.042,0.114,170.154,2013 vs 2014
ootuse oigusparase oiguskindluse,0.295,0.443,50.085,2013 vs 2014
muraste kase kompleksi,0.063,0.139,120.125,2013 vs 2014
oiglase virumaale ulemineku,0.021,0.076,260.205,2013 vs 2014
koneleja konsensuslikud repliigi,0.021,0.076,260.205,2013 vs 2014
kohanimenoukogu vonnu mulgi,0.021,0.063,200.171,2013 vs 2014
talupidajate kaubanduskoja kaubanduskoda,0.021,0.063,200.171,2013 vs 2014
tooandja tervisesse maksuvabalt,0.084,0.152,80.102,2013 vs 2014
vagivalla naistevastase perevagivalla,0.105,0.177,68.096,2013 vs 2014
abipolitseinik abipolitseiniku abipolitseinike,0.063,0.114,80.102,2013 vs 2014
valijate erakonda valijaid,0.464,0.582,25.526,2013 vs 2014
teenuseid teenused teenust,0.211,0.291,38.079,2013 vs 2014
rahvuse rahvust rahvusriik,0.19,0.266,40.08,2013 vs 2014
hansson ardo panga,0.021,0.051,140.137,2013 vs 2014
skais arendused infosusteemide,0.021,0.051,140.137,2013 vs 2014
fie fuusilisest isikust,0.232,0.304,30.984,2013 vs 2014
inflatsiooni inflatsioon hinnatous,0.042,0.076,80.102,2013 vs 2014
korterelamute kortermajade kredexi,0.19,0.253,33.409,2013 vs 2014
magustatud suhkrut joogi,0.063,0.101,60.091,2013 vs 2014
kusija vastaja vastasin,0.063,0.101,60.091,2013 vs 2014
oigusriik oigusriigi oigusriigist,0.127,0.177,40.08,2013 vs 2014
muundatud geneetiliselt gmo,0.0,0.076,35920.478,2013 vs 2014
kolledz kolledzi turi,0.0,0.063,29917.065,2013 vs 2014
tervist tervis tervisega,0.0,0.063,29917.065,2013 vs 2014
koosoleku elektrooniline koosolekut,0.0,0.051,23913.652,2013 vs 2014
riigipuha puhade tahtpaevade,0.0,0.038,17910.239,2013 vs 2014
hambaravi hammaste hambad,0.148,0.19,28.645,2013 vs 2014
uuring uuringut uuringu,0.274,0.329,20.068,2013 vs 2014
kontrollin haaled kandidaadi,0.0,0.025,11906.826,2013 vs 2014
rahapesu terrorismi andmeburoo,0.0,0.025,11906.826,2013 vs 2014
operatsioonil sojalisel panustamisel,0.0,0.025,11906.826,2013 vs 2014
tsernoboli represseeritud oigusvastaselt,0.021,0.038,80.102,2013 vs 2014
muugimaksu muugimaks paadimaksu,0.021,0.038,80.102,2013 vs 2014
humni humn laulda,0.021,0.038,80.102,2013 vs 2014
salastatud valisteabe riigisaladuse,0.084,0.114,35.077,2013 vs 2014
hoone rkas hoonet,0.337,0.392,16.316,2013 vs 2014
kirik kiriku maarja,0.042,0.063,50.085,2013 vs 2014
tootuli lepitaja ametiuhingute,0.042,0.063,50.085,2013 vs 2014
energiaagentuur agentuuri agentuur,0.0,0.013,5903.413,2013 vs 2014
est kavatsuste for,0.0,0.013,5903.413,2013 vs 2014
voidusamba vabadussoja uurimiskomisjon,0.0,0.013,5903.413,2013 vs 2014
valismaale valjarande valjaranne,0.253,0.291,15.065,2013 vs 2014
kandidaati kandidaat valituks,0.127,0.152,20.068,2013 vs 2014
terviseandmed isikuandmeid terviseandmeid,0.612,0.658,7.647,2013 vs 2014
relva relvade relvaluba,0.084,0.101,20.068,2013 vs 2014
raamatukogu pimedate raamatukogude,0.063,0.076,20.068,2013 vs 2014
valimisliitude volikogusse volikokku,1.666,1.722,3.35,2013 vs 2014
valimiskomisjon proteste valimiskasti,0.042,0.051,20.068,2013 vs 2014
tantsupeo laulu traditsiooni,0.042,0.051,20.068,2013 vs 2014
korterid kortereid korterit,0.295,0.316,7.204,2013 vs 2014
riigireformi riigireformist riigireform,0.19,0.203,6.727,2013 vs 2014
ulikooliga kbfi instituudi,0.021,0.025,20.068,2013 vs 2014
haaletamissedel haaletamiskasti sedeli,0.021,0.025,20.068,2013 vs 2014
danske filiaali rahapesu,0.021,0.025,20.068,2013 vs 2014
liibanonis missioonil pikendamine,0.401,0.418,4.27,2013 vs 2014
katteallikas katteallikaid katteallikat,0.675,0.696,3.184,2013 vs 2014
keskkonnaameti uhendamine uhendamise,0.105,0.114,8.061,2013 vs 2014
kauguhendus avaksite ettekandjalt,0.105,0.114,8.061,2013 vs 2014
deklaratsiooni deklaratsioone deklaratsioonis,0.105,0.114,8.061,2013 vs 2014
maksuamet tolliamet tolliameti,1.856,1.886,1.649,2013 vs 2014
annetused annetusi annetuste,0.169,0.177,5.06,2013 vs 2014
hooldekodus hoolduse hooldekodu,0.232,0.241,3.695,2013 vs 2014
sigade katku katk,0.084,0.089,5.06,2013 vs 2014
arengukavad arengukavade pohialuste,0.949,0.949,0.057,2013 vs 2014
piima toorpiima toodangut,0.253,0.253,0.057,2013 vs 2014
koolituse koolitus koolitusele,0.063,0.063,0.057,2013 vs 2014
tapsustatakse ajakohastatakse nouete,0.738,0.734,-0.515,2013 vs 2014
riigiloivude riigiloivud riigiloivu,0.485,0.481,-0.813,2013 vs 2014
untso missioonide liikmesusest,0.422,0.418,-0.944,2013 vs 2014
kontroll kohaloleku registreeris,0.0,0.0,-39.966,2013 vs 2014
jalitustegevuse jalitustoimingu sideandmete,0.169,0.165,-2.445,2013 vs 2014
aituma infotundi jahimehed,0.211,0.203,-3.945,2013 vs 2014
eripensioni valjateenitud staazi,0.042,0.038,-9.949,2013 vs 2014
lisaeelarve lisaeelarves lisaeelarvega,0.042,0.038,-9.949,2013 vs 2014
valdkonnad laekumisest fikseeritakse,0.042,0.038,-9.949,2013 vs 2014
eelarvele kulude riigieelarvele,0.548,0.532,-3.022,2013 vs 2014
riigimetsa majandamise noukokku,0.084,0.076,-9.949,2013 vs 2014
kaitseliit kaitseliidule kaitseliidu,0.38,0.354,-6.614,2013 vs 2014
loomi loomade loomad,0.169,0.152,-9.949,2013 vs 2014
borsile ipo enefit,0.211,0.19,-9.949,2013 vs 2014
slovakkia ungari portugal,0.464,0.43,-7.22,2013 vs 2014
lipud lippude lipp,0.063,0.051,-19.954,2013 vs 2014
kala kalurid kalurite,0.295,0.266,-9.949,2013 vs 2014
ametiuhingute tooandjate keskliit,0.295,0.266,-9.949,2013 vs 2014
kohtutaiturite kohtutaitur kohtutaituri,0.148,0.127,-14.237,2013 vs 2014
domeenide domeeni interneti,0.021,0.013,-39.966,2013 vs 2014
virumaale virumaa toostusalade,0.569,0.519,-8.837,2013 vs 2014
lahususe voimude lahusus,0.316,0.279,-11.95,2013 vs 2014
normitehnika mojude eeskiri,0.358,0.316,-11.715,2013 vs 2014
president ilves presidendi,0.084,0.063,-24.957,2013 vs 2014
karistuse karistus tingimisi,0.991,0.912,-8.033,2013 vs 2014
tootuid tootute tootu,0.464,0.405,-12.678,2013 vs 2014
miili baasvorgu lairiba,0.105,0.076,-27.959,2013 vs 2014
ametipalkade riigiteenijate korgemate,0.084,0.0,-99.85,2013 vs 2014
moisteid moiste moisted,0.654,0.57,-12.854,2013 vs 2014
koondaruande majandusaasta koondaruanne,0.063,0.038,-39.966,2013 vs 2014
nord stream streami,0.063,0.038,-39.966,2013 vs 2014
aardla pria pealtnagija,0.063,0.038,-39.966,2013 vs 2014
memorandumi moistmise memorandum,0.148,0.0,-99.914,2013 vs 2014
varude varud varu,0.148,0.0,-99.914,2013 vs 2014
planeeringu keskkonnamoju keskkonnamojude,0.127,0.089,-29.96,2013 vs 2014
tarbijakaitse amet ametile,0.232,0.177,-23.593,2013 vs 2014
viirust vaktsineeritud viiruse,0.084,0.051,-39.966,2013 vs 2014
lae korgepalgaliste lagi,0.084,0.051,-39.966,2013 vs 2014
riigiabi komisjonilt loa,0.337,0.266,-21.205,2013 vs 2014
piirikontrolli schengeni valispiiri,0.148,0.101,-31.39,2013 vs 2014
eelarves riigieelarves reservist,1.455,1.304,-10.384,2013 vs 2014
kusimusena tahtsa tahtsusega,0.169,0.114,-32.462,2013 vs 2014
maavalitsuste maavalitsused maakonna,0.548,0.443,-19.185,2013 vs 2014
teekasutustasu autode autod,0.337,0.253,-24.957,2013 vs 2014
valitsemisalade katteallikaks riigieelarves,0.127,0.076,-39.966,2013 vs 2014
poolte kokkuleppel huvitise,0.19,0.127,-33.295,2013 vs 2014
oigusloome oigusloomes oiguspoliitika,0.253,0.177,-29.96,2013 vs 2014
teenistuse teenistuses avalikus,0.253,0.177,-29.96,2013 vs 2014
erso teatri kontserdi,0.042,0.013,-69.983,2013 vs 2014
haiguspaevade haiguspaevi haiguspaeva,0.042,0.013,-69.983,2013 vs 2014
omandireformi tagastatud omandireform,0.211,0.139,-33.962,2013 vs 2014
pealinnast tallinnast viljandisse,0.211,0.139,-33.962,2013 vs 2014
tulumaksuvaba maksususteemi tulumaksu,1.539,1.329,-13.65,2013 vs 2014
veb fondi uurimiskomisjon,0.211,0.127,-39.966,2013 vs 2014
volakirjade keskpank volakirju,0.337,0.228,-32.462,2013 vs 2014
kasvavad tuleval kasv,0.316,0.203,-35.964,2013 vs 2014
vaesuses suhtelises vaesuse,0.316,0.203,-35.964,2013 vs 2014
kaasne lisakulutusi riigieelarvele,0.548,0.392,-28.421,2013 vs 2014
pensioniiga pensioniea eluiga,0.19,0.101,-46.636,2013 vs 2014
pensionifondide pensionifondid fondid,0.337,0.215,-36.214,2013 vs 2014
riigikontrolor karis riigikontrolori,0.274,0.165,-39.966,2013 vs 2014
louis freeh kremli,0.063,0.013,-79.989,2013 vs 2014
suuria euroopasse turgis,0.063,0.013,-79.989,2013 vs 2014
teatri teater rahvusooper,0.063,0.013,-79.989,2013 vs 2014
hiv narkomaania epideemia,0.084,0.025,-69.983,2013 vs 2014
ugri rahvaste polisrahvaste,0.084,0.025,-69.983,2013 vs 2014
post posti omniva,0.105,0.038,-63.98,2013 vs 2014
objekti anu raua,0.105,0.038,-63.98,2013 vs 2014
salvestisi salvestised salvestiste,0.654,0.468,-28.346,2013 vs 2014
huvihariduse huvitegevuse huviharidus,0.169,0.076,-54.974,2013 vs 2014
vee monopolide veeteenuse,0.358,0.215,-39.966,2013 vs 2014
valispoliitika valispoliitikas diplomaatia,0.506,0.329,-34.963,2013 vs 2014
ajakirjandus ajakirjanduse ajakirjandust,0.464,0.291,-37.237,2013 vs 2014
pagulasi pagulased pagulaste,0.105,0.025,-75.986,2013 vs 2014
annetus erjk annetuse,0.127,0.038,-69.983,2013 vs 2014
ammendumiseni kaheni pikendada,0.19,0.076,-59.977,2013 vs 2014
mes maale maaelu,0.232,0.101,-56.339,2013 vs 2014
riigikontrolli auditi auditit,0.633,0.405,-35.964,2013 vs 2014
id mobiil kaardi,0.506,0.304,-39.966,2013 vs 2014
jarviku jarvik maaeluministri,0.358,0.19,-47.029,2013 vs 2014
opositsiooni koalitsioonil opositsioonil,0.38,0.203,-46.636,2013 vs 2014
volitust kaasuses jarvik,0.127,0.025,-79.989,2013 vs 2014
utah jordaania energia,0.169,0.051,-69.983,2013 vs 2014
huvigruppe huvigruppide kaasatud,1.539,1.152,-25.163,2013 vs 2014
seksuaalse vangistusega vaarkohtlemise,0.148,0.025,-82.847,2013 vs 2014
aasia aasias saatkonna,0.612,0.354,-42.036,2013 vs 2014
hanke hankija riigihangete,0.464,0.241,-48.152,2013 vs 2014
konkurss konkursi konkurssi,0.358,0.139,-61.154,2013 vs 2014
efsf esm kreekale,0.907,0.544,-39.966,2013 vs 2014
vanemahuvitist vanemahuvitise vanemahuvitis,0.633,0.329,-47.97,2013 vs 2014
keeleoskust oskuse keeleoskuse,0.422,0.177,-57.976,2013 vs 2014
oppelaenu sugava puudega,0.232,0.051,-78.169,2013 vs 2014
metsa metsade mets,0.337,0.101,-69.983,2013 vs 2014
vaikesaarte saarte pusiasustusega,0.38,0.127,-66.648,2013 vs 2014
samba sammas sambasse,0.422,0.152,-63.98,2013 vs 2014
palgatousu opetajate palgatous,0.991,0.557,-43.798,2013 vs 2014
pollumeestele pollumehi pollumehed,1.033,0.582,-43.641,2013 vs 2014
majandusaasta koondaruanne raamatupidamise,0.633,0.279,-55.975,2013 vs 2014
vallaga vald sauga,1.202,0.696,-42.072,2013 vs 2014
korteriuhistu korteriomanike korteriuhistute,0.759,0.354,-53.307,2013 vs 2014
lapsetoetust lapsetoetus lapsetoetuse,3.016,2.14,-29.051,2013 vs 2014
teadus teaduse arendustegevuse,0.759,0.329,-56.642,2013 vs 2014
arengufond arengufondi arengufondis,1.392,0.785,-43.604,2013 vs 2014
tulubaasi omavalitsustele omavalitsuste,1.392,0.772,-44.514,2013 vs 2014
kulukuse krediidi kiirlaenude,0.949,0.443,-53.307,2013 vs 2014
noukogudesse ariuhingute noukogudes,1.244,0.658,-47.089,2013 vs 2014
iive sundimus iibe,0.654,0.228,-65.141,2013 vs 2014
kutsehariduse kutseharidus kutsehariduses,1.012,0.43,-57.476,2013 vs 2014
matusetoetust matusetoetus matusetoetuse,0.696,0.215,-69.073,2013 vs 2014
muuseum muuseumi muuseumide,0.485,0.038,-92.169,2013 vs 2014
estonian air airi,0.717,0.215,-69.983,2013 vs 2014
direktiivi direktiiv ulevotmise,0.738,0.228,-69.125,2013 vs 2014
laari laar kandidatuuri,0.506,0.063,-87.493,2013 vs 2014
taanis saksamaal hollandis,1.054,0.418,-60.377,2013 vs 2014
kaibemaksu kaibemaks kaibemaksumaara,0.886,0.304,-65.695,2013 vs 2014
tulubaasi tasandusfondi tulumaksuosa,0.928,0.329,-64.525,2013 vs 2014
palgalohe soolist meeste,0.844,0.241,-71.484,2013 vs 2014
liiklussurmade liikluses hukkunute,0.907,0.279,-69.285,2013 vs 2014
elektri elektrit taastuvenergia,1.961,1.0,-49.003,2013 vs 2014
kinnisasja maad maa,1.307,0.519,-60.3,2013 vs 2014
ooteala piiriuletuse piiripunkti,0.717,0.063,-91.171,2013 vs 2014
rahvaalgatuse rahvaalgatus rahvahaaletus,0.738,0.089,-87.993,2013 vs 2014
otsevalimise presidenti presidendi,0.822,0.165,-79.989,2013 vs 2014
inimarengu aruanne aruandes,0.97,0.253,-73.898,2013 vs 2014
koolis kooli opilased,3.184,1.785,-43.942,2013 vs 2014
haale valimispaeval valimiste,0.907,0.101,-88.831,2013 vs 2014
eriarstide eriarstiabi eriarsti,2.467,1.051,-57.412,2013 vs 2014
elamisluba elamisloa viisa,1.392,0.152,-89.085,2013 vs 2014
jahimehed jahimeeste jahti,2.003,0.063,-96.84,2013 vs 2014
palgatousu opetajate palgatous,0.557,2.237,301.615,2014 vs 2015
pollumeestele pollumehi pollumehed,0.582,2.027,248.139,2014 vs 2015
sigade katku katk,0.089,1.552,1651.328,2014 vs 2015
pagulasi pagulased pagulaste,0.025,3.006,11772.742,2014 vs 2015
efsf esm kreekale,0.544,1.734,218.49,2014 vs 2015
elamisluba elamisloa viisa,0.152,0.937,516.646,2014 vs 2015
teadus teaduse arendustegevuse,0.329,1.161,252.572,2014 vs 2015
otsevalimise presidenti presidendi,0.165,0.909,452.221,2014 vs 2015
tulumaksuvaba maksususteemi tulumaksu,1.329,2.489,87.229,2014 vs 2015
kaitseliit kaitseliidule kaitseliidu,0.354,1.105,211.61,2014 vs 2015
alkoholi kange lahja,1.418,2.587,82.43,2014 vs 2015
riigipalgaliste riigisektoris koondada,0.266,0.937,252.369,2014 vs 2015
piima toorpiima toodangut,0.253,0.881,247.899,2014 vs 2015
koolis kooli opilased,1.785,2.964,66.058,2014 vs 2015
palgalohe soolist meeste,0.241,0.853,254.584,2014 vs 2015
pensionifondide pensionifondid fondid,0.215,0.769,257.319,2014 vs 2015
kaibemaksu kaibemaks kaibemaksumaara,0.304,0.825,171.508,2014 vs 2015
tooandja tervisesse maksuvabalt,0.152,0.545,258.943,2014 vs 2015
suuria euroopasse turgis,0.013,0.559,4317.764,2014 vs 2015
post posti omniva,0.038,0.35,820.368,2014 vs 2015
hiv narkomaania epideemia,0.025,0.294,1059.663,2014 vs 2015
volakirjade keskpank volakirju,0.228,0.573,151.567,2014 vs 2015
direktiivi direktiiv ulevotmise,0.228,0.573,151.567,2014 vs 2015
slovakkia ungari portugal,0.43,0.853,98.15,2014 vs 2015
jarviku jarvik maaeluministri,0.19,0.503,165.066,2014 vs 2015
piirikontrolli schengeni valispiiri,0.101,0.364,258.943,2014 vs 2015
ulikooliga kbfi instituudi,0.025,0.266,949.219,2014 vs 2015
metsa metsade mets,0.101,0.35,245.138,2014 vs 2015
pensioni pension sammas,0.228,0.531,133.16,2014 vs 2015
teenuseid teenused teenust,0.291,0.615,111.284,2014 vs 2015
salvestisi salvestised salvestiste,0.468,0.839,79.099,2014 vs 2015
riigipuha puhade tahtpaevade,0.038,0.224,489.035,2014 vs 2015
omandireformi tagastatud omandireform,0.139,0.378,171.09,2014 vs 2015
objekti anu raua,0.038,0.21,452.221,2014 vs 2015
rahvuse rahvust rahvusriik,0.266,0.545,105.11,2014 vs 2015
pealinnast tallinnast viljandisse,0.139,0.336,140.969,2014 vs 2015
inflatsiooni inflatsioon hinnatous,0.076,0.238,212.925,2014 vs 2015
loomi loomade loomad,0.152,0.35,130.092,2014 vs 2015
eripensioni valjateenitud staazi,0.038,0.168,341.776,2014 vs 2015
ammendumiseni kaheni pikendada,0.076,0.224,194.518,2014 vs 2015
miili baasvorgu lairiba,0.076,0.224,194.518,2014 vs 2015
president ilves presidendi,0.063,0.196,209.244,2014 vs 2015
riigikontrolli auditi auditit,0.405,0.657,62.215,2014 vs 2015
huvihariduse huvitegevuse huviharidus,0.076,0.21,176.11,2014 vs 2015
arengufond arengufondi arengufondis,0.785,1.105,40.727,2014 vs 2015
tulubaasi tasandusfondi tulumaksuosa,0.329,0.545,65.666,2014 vs 2015
valismaale valjarande valjaranne,0.291,0.489,68.067,2014 vs 2015
nord stream streami,0.038,0.126,231.332,2014 vs 2015
louis freeh kremli,0.013,0.084,562.665,2014 vs 2015
haiguspaevade haiguspaevi haiguspaeva,0.013,0.084,562.665,2014 vs 2015
riigireformi riigireformist riigireform,0.203,0.35,72.569,2014 vs 2015
haale valimispaeval valimiste,0.101,0.21,107.083,2014 vs 2015
tulubaasi omavalitsustele omavalitsuste,0.772,1.021,32.171,2014 vs 2015
oigusloome oigusloomes oiguspoliitika,0.177,0.308,73.555,2014 vs 2015
valijate erakonda valijaid,0.582,0.797,36.855,2014 vs 2015
borsile ipo enefit,0.19,0.322,69.348,2014 vs 2015
annetus erjk annetuse,0.038,0.112,194.518,2014 vs 2015
estonian air airi,0.215,0.35,62.418,2014 vs 2015
danske filiaali rahapesu,0.025,0.084,231.332,2014 vs 2015
operatsioonil sojalisel panustamisel,0.025,0.084,231.332,2014 vs 2015
ooteala piiriuletuse piiripunkti,0.063,0.14,120.888,2014 vs 2015
valispoliitika valispoliitikas diplomaatia,0.329,0.475,44.427,2014 vs 2015
riigimetsa majandamise noukokku,0.076,0.154,102.481,2014 vs 2015
muuseum muuseumi muuseumide,0.038,0.098,157.703,2014 vs 2015
lae korgepalgaliste lagi,0.051,0.112,120.888,2014 vs 2015
taanis saksamaal hollandis,0.418,0.559,33.872,2014 vs 2015
riigiloivude riigiloivud riigiloivu,0.481,0.629,30.789,2014 vs 2015
koolituse koolitus koolitusele,0.063,0.126,98.799,2014 vs 2015
jahimehed jahimeeste jahti,0.063,0.126,98.799,2014 vs 2015
oiglase virumaale ulemineku,0.076,0.14,84.074,2014 vs 2015
rahvaalgatuse rahvaalgatus rahvahaaletus,0.089,0.154,73.555,2014 vs 2015
aituma infotundi jahimehed,0.203,0.294,44.958,2014 vs 2015
kohtunike kohtususteem kohtuniku,0.912,1.091,19.648,2014 vs 2015
aardla pria pealtnagija,0.038,0.084,120.888,2014 vs 2015
tsernoboli represseeritud oigusvastaselt,0.038,0.084,120.888,2014 vs 2015
pensioniiga pensioniea eluiga,0.101,0.168,65.666,2014 vs 2015
relva relvade relvaluba,0.101,0.168,65.666,2014 vs 2015
utah jordaania energia,0.051,0.098,93.277,2014 vs 2015
energiaagentuur agentuuri agentuur,0.013,0.042,231.332,2014 vs 2015
kaasne lisakulutusi riigieelarvele,0.392,0.503,28.258,2014 vs 2015
piirilepingu piirileping piirilepingut,0.76,0.909,19.648,2014 vs 2015
tootuli lepitaja ametiuhingute,0.063,0.112,76.711,2014 vs 2015
vagivalla naistevastase perevagivalla,0.177,0.252,42.0,2014 vs 2015
volitust kaasuses jarvik,0.025,0.056,120.888,2014 vs 2015
moisteid moiste moisted,0.57,0.685,20.261,2014 vs 2015
kaitsekulud kaitsekulutused kaitsekulude,0.114,0.168,47.259,2014 vs 2015
valdkonnad laekumisest fikseeritakse,0.038,0.07,84.074,2014 vs 2015
riigikontrolor karis riigikontrolori,0.165,0.224,35.931,2014 vs 2015
viirust vaktsineeritud viiruse,0.051,0.084,65.666,2014 vs 2015
koneleja konsensuslikud repliigi,0.076,0.112,47.259,2014 vs 2015
memorandumi moistmise memorandum,0.0,0.182,143477.342,2014 vs 2015
kontroll kohaloleku registreeris,0.0,0.084,66166.466,2014 vs 2015
opositsiooni koalitsioonil opositsioonil,0.203,0.252,24.25,2014 vs 2015
korterelamute kortermajade kredexi,0.253,0.308,21.489,2014 vs 2015
treenerite spordi sport,0.671,0.755,12.528,2014 vs 2015
varude varud varu,0.0,0.042,33033.233,2014 vs 2015
haaletamissedel haaletamiskasti sedeli,0.025,0.042,65.666,2014 vs 2015
maavalitsuste maavalitsused maakonna,0.443,0.503,13.6,2014 vs 2015
kinnitamise paevakorra paevakord,0.418,0.475,13.791,2014 vs 2015
lisaeelarve lisaeelarves lisaeelarvega,0.038,0.056,47.259,2014 vs 2015
koondaruande majandusaasta koondaruanne,0.038,0.056,47.259,2014 vs 2015
ametiuhingute tooandjate keskliit,0.266,0.308,15.703,2014 vs 2015
skais arendused infosusteemide,0.051,0.07,38.055,2014 vs 2015
hansson ardo panga,0.051,0.07,38.055,2014 vs 2015
kolledz kolledzi turi,0.063,0.084,32.533,2014 vs 2015
tervist tervis tervisega,0.063,0.084,32.533,2014 vs 2015
annetused annetusi annetuste,0.177,0.21,18.333,2014 vs 2015
oigusriik oigusriigi oigusriigist,0.177,0.21,18.333,2014 vs 2015
kandidaati kandidaat valituks,0.152,0.182,19.648,2014 vs 2015
kandideerima ametikohale kandidaatide,0.127,0.154,21.489,2014 vs 2015
salastatud valisteabe riigisaladuse,0.114,0.14,22.716,2014 vs 2015
